,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA60&WMA60^KAMA10&TRIMA60,EMA60&WMA60^KAMA10&WMA60,EMA60&WMA60^KAMA20&EMA60,EMA60&WMA60^MA20&EMA60,EMA60&WMA60^MA20&TRIMA60,EMA60&WMA60^SMA20&EMA60,EMA60&WMA60^TRIMA20&EMA60,EMA60&WMA60^WMA20&EMA60,EMA60&WMA60^DEMA60&EMA60,EMA60&WMA60^DEMA60&WMA60
0,2010-08-30,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010-08-31,53.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010-09-13,56.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-18,61.3499984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,2011-01-19,62.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-20,61.6500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
6,2011-01-21,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-24,60.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-25,61.4500007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,2011-01-26,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-01-27,62.4500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-01-28,63.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
12,2011-02-08,62.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2010-09-14,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-02-09,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011-02-10,60.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2011-02-11,58.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2011-02-14,59.4000015259,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,2011-02-15,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2011-02-16,59.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2011-02-17,59.6500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
21,2011-02-18,60.6500015259,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
22,2011-02-21,60.6500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2011-02-22,59.8499984741,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
24,2010-09-15,57.25,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
25,2011-02-23,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2011-02-24,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2011-02-25,59.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,2011-03-01,59.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2011-03-02,59.4500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
30,2011-03-03,60.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2011-03-04,60.6500015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,2011-03-07,60.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
33,2011-03-08,60.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2011-03-09,60.2000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2010-09-16,56.6500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2011-03-10,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2011-03-11,58.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2011-03-14,58.7999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
39,2011-03-15,57.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
40,2011-03-16,57.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2011-03-17,57.2999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
42,2011-03-18,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2011-03-21,58.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2011-03-22,58.4000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2011-03-23,58.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
46,2010-09-17,57.2999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2011-03-24,58.75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2011-03-25,59.3499984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
49,2011-03-28,59.1500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
50,2011-03-29,59.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2011-03-30,59.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2011-03-31,59.5499992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
53,2011-04-01,59.8499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
54,2011-04-06,61.1500015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
55,2011-04-07,61.2999992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2011-04-08,61.0999984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
57,2010-09-20,57.25,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
58,2011-04-11,61.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2011-04-12,60.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2011-04-13,60.4000015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2011-04-14,60.3499984741,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
62,2011-04-15,59.6500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2011-04-18,59.5499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
64,2011-04-19,59.2000007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
65,2011-04-20,60.2999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2011-04-21,61.7000007629,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
67,2011-04-22,61.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2010-09-21,57.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2011-04-25,61.4500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
70,2011-04-26,61.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2011-04-27,62.1500015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
72,2011-04-28,62.1500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2011-04-29,62.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
74,2011-05-03,62.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2011-05-04,61.7999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2011-05-05,62.25,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
77,2011-05-06,61.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2011-05-09,62.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2010-09-23,57.3499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
80,2011-05-10,62.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2011-05-11,62.0499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
82,2011-05-12,62.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2011-05-13,62.0499992371,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,2011-05-16,61.2999992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
85,2011-05-17,61.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2011-05-18,61.5999984741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
87,2011-05-19,61.0499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2011-05-20,61.0999984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
89,2011-05-23,60.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2010-09-24,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2011-05-24,60.4500007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
92,2011-05-25,60.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2011-05-26,60.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2011-05-27,60.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2011-05-30,60.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
96,2011-05-31,62.0,0,1,1,1,1,0,-1,0,0,0,0,0,0,0,0
97,2011-06-01,62.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2011-06-02,61.9000015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
99,2011-06-03,62.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2011-06-07,62.2000007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
101,2010-09-27,57.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
102,2011-06-08,62.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2011-06-09,62.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
104,2011-06-10,60.5499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2011-06-13,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2011-06-14,60.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107,2011-06-15,60.5,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
108,2011-06-16,59.4000015259,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
109,2011-06-17,59.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2011-06-20,58.5999984741,0,1,1,1,1,0,0,-1,0,0,0,0,-1,0,0
111,2011-06-21,59.0499992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2010-09-01,53.7000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2010-09-28,57.4000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2011-06-22,59.2000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
115,2011-06-23,58.6500015259,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
116,2011-06-24,58.2000007629,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
117,2011-06-27,57.7999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2011-06-28,57.6500015259,-1,1,1,1,1,0,0,0,0,0,0,-1,0,-1,0
119,2011-06-29,58.6500015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2011-06-30,58.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2011-07-01,59.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2011-07-04,60.0499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
123,2011-07-05,59.9500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2010-09-29,57.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2011-07-06,60.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2011-07-07,60.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2011-07-08,60.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2011-07-11,59.6500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2011-07-12,58.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2011-07-13,58.7000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2011-07-14,58.9000015259,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
132,2011-07-15,59.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2011-07-18,59.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
134,2011-07-19,58.9000015259,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
135,2010-09-30,57.7000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
136,2011-07-20,60.4500007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
137,2011-07-21,60.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2011-07-22,61.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
139,2011-07-25,60.4000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2011-07-26,61.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2011-07-27,61.3499984741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
142,2011-07-28,60.8499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
143,2011-07-29,59.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2011-08-01,60.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2011-08-02,59.5499992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
146,2010-10-01,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2011-08-03,58.5999984741,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0
148,2011-08-04,57.8499984741,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1
149,2011-08-05,54.4500007629,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
150,2011-08-08,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2011-08-09,53.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
152,2011-08-10,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2011-08-11,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2011-08-12,53.5499992371,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
155,2011-08-15,54.5999984741,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
156,2011-08-16,54.3499984741,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
157,2010-10-04,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2011-08-17,53.9500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
159,2011-08-18,52.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2011-08-19,51.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2011-08-22,51.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
162,2011-08-23,53.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2011-08-24,52.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2011-08-25,52.3499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
165,2011-08-26,53.0499992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2011-08-29,53.7999992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
167,2011-08-30,54.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2010-10-05,57.4000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2011-08-31,54.5499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
170,2011-09-01,55.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2011-09-02,55.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2011-09-05,53.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2011-09-06,52.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2011-09-07,53.5499992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
175,2011-09-08,53.7000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2011-09-09,54.1500015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2011-09-13,52.6500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
178,2011-09-14,51.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2010-10-06,57.75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
180,2011-09-15,52.8499984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
181,2011-09-16,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2011-09-19,53.2000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2011-09-20,53.4000015259,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
184,2011-09-21,53.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2011-09-22,52.0999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2011-09-23,50.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2011-09-26,49.3199996948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2011-09-27,51.0999984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
189,2011-09-28,51.1500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2010-10-07,57.9500007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2011-09-29,51.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
