,Date,close
0,2022-01-03,146.3999938965
1,2022-01-04,149.6000061035
10,2022-01-17,152.0
100,2022-06-08,128.8000030518
101,2022-06-09,128.3999938965
102,2022-06-10,127.0999984741
103,2022-06-13,123.5500030518
104,2022-06-14,123.3499984741
105,2022-06-15,122.75
106,2022-06-16,122.5
107,2022-06-17,120.8499984741
108,2022-06-20,119.75
109,2022-06-21,122.1999969482
11,2022-01-18,150.3000030518
110,2022-06-22,119.5
111,2022-06-23,117.9000015259
112,2022-06-24,118.1500015259
113,2022-06-27,120.9499969482
114,2022-06-28,119.8000030518
115,2022-06-29,118.8000030518
116,2022-06-30,115.8000030518
117,2022-07-01,111.5500030518
118,2022-07-04,110.4499969482
119,2022-07-05,111.0
12,2022-01-19,148.5
120,2022-07-06,108.8499984741
121,2022-07-07,112.0999984741
122,2022-07-08,113.25
123,2022-07-11,112.25
124,2022-07-12,109.5500030518
125,2022-07-13,113.4499969482
126,2022-07-14,114.0
127,2022-07-15,115.5
128,2022-07-18,114.1999969482
129,2022-07-19,114.3000030518
13,2022-01-20,149.1000061035
130,2022-07-20,115.0500030518
131,2022-07-21,116.3499984741
132,2022-07-22,116.8000030518
133,2022-07-25,116.6999969482
134,2022-07-26,115.6500015259
135,2022-07-27,116.6999969482
136,2022-07-28,116.9000015259
137,2022-07-29,118.0
138,2022-08-01,117.6500015259
139,2022-08-02,115.5500030518
14,2022-01-21,142.6499938965
140,2022-08-03,116.25
141,2022-08-04,116.5500030518
142,2022-08-05,119.5
143,2022-08-08,119.25
144,2022-08-09,119.1500015259
145,2022-08-10,117.9000015259
146,2022-08-11,120.0500030518
147,2022-08-12,120.8000030518
148,2022-08-15,121.9000015259
149,2022-08-16,122.0999984741
15,2022-01-24,144.0
150,2022-08-17,122.1500015259
151,2022-08-18,121.3499984741
152,2022-08-19,121.5500030518
153,2022-08-22,120.0500030518
154,2022-08-23,118.1999969482
155,2022-08-24,117.9000015259
156,2022-08-25,119.0
157,2022-08-26,119.5999984741
158,2022-08-29,116.5500030518
159,2022-08-30,116.75
16,2022-01-25,141.6499938965
160,2022-08-31,117.5999984741
161,2022-09-01,115.1500015259
162,2022-09-02,113.9000015259
163,2022-09-05,114.1500015259
164,2022-09-06,114.9000015259
165,2022-09-07,112.1999969482
166,2022-09-08,113.0
167,2022-09-12,115.4000015259
168,2022-09-13,116.0
169,2022-09-14,113.6500015259
17,2022-01-26,141.5500030518
170,2022-09-15,113.8499984741
171,2022-09-16,112.5500030518
172,2022-09-19,112.0500030518
173,2022-09-20,113.0500030518
174,2022-09-21,112.0999984741
175,2022-09-22,110.75
176,2022-09-23,109.6999969482
177,2022-09-26,107.6500015259
178,2022-09-27,107.5
179,2022-09-28,105.25
18,2022-02-07,142.3000030518
180,2022-09-29,104.9000015259
181,2022-09-30,103.4499969482
182,2022-10-03,102.1999969482
183,2022-10-04,104.8000030518
184,2022-10-05,107.25
185,2022-10-06,108.0
186,2022-10-07,106.1999969482
187,2022-10-11,100.6999969482
188,2022-10-12,100.1999969482
189,2022-10-13,99.0
19,2022-02-08,142.8999938965
190,2022-10-14,101.8499984741
191,2022-10-17,99.9499969482
192,2022-10-18,101.0999984741
193,2022-10-19,99.75
194,2022-10-20,99.1999969482
195,2022-10-21,98.9000015259
196,2022-10-24,98.5999984741
197,2022-10-25,96.6999969482
198,2022-10-26,97.5999984741
199,2022-10-27,99.0
2,2022-01-05,149.3000030518
20,2022-02-09,143.3999938965
200,2022-10-28,97.75
201,2022-10-31,99.0500030518
202,2022-11-01,99.5999984741
203,2022-11-02,100.0
204,2022-11-03,98.6999969482
205,2022-11-04,98.8499984741
206,2022-11-07,100.5500030518
207,2022-11-08,101.5999984741
208,2022-11-09,104.5
209,2022-11-10,103.5
21,2022-02-10,145.0500030518
210,2022-11-11,109.0
211,2022-11-14,110.0
212,2022-11-15,114.6999969482
213,2022-11-16,114.5
214,2022-11-17,114.5500030518
215,2022-11-18,114.25
216,2022-11-21,113.8499984741
217,2022-11-22,114.8000030518
218,2022-11-23,115.5999984741
219,2022-11-24,116.6999969482
22,2022-02-11,144.9499969482
220,2022-11-25,116.6999969482
221,2022-11-28,114.3499984741
222,2022-11-29,115.4000015259
223,2022-11-30,116.3499984741
224,2022-12-01,118.3499984741
225,2022-12-02,117.3000030518
226,2022-12-05,117.4499969482
227,2022-12-06,115.3000030518
228,2022-12-07,114.5999984741
229,2022-12-08,113.25
23,2022-02-14,142.6999969482
230,2022-12-09,115.0
231,2022-12-12,113.9000015259
232,2022-12-13,113.4000015259
233,2022-12-14,114.8000030518
24,2022-02-15,142.0500030518
25,2022-02-16,144.3999938965
26,2022-02-17,144.5
27,2022-02-18,144.1000061035
28,2022-02-21,143.8000030518
29,2022-02-22,141.8500061035
3,2022-01-06,147.8999938965
30,2022-02-23,142.25
31,2022-02-24,138.8000030518
32,2022-02-25,138.5
33,2022-03-01,140.4499969482
34,2022-03-02,139.6499938965
35,2022-03-03,139.9499969482
36,2022-03-04,138.4499969482
37,2022-03-07,134.0
38,2022-03-08,131.1499938965
39,2022-03-09,132.5
4,2022-01-07,146.6000061035
40,2022-03-10,136.3500061035
41,2022-03-11,134.3999938965
42,2022-03-14,134.3999938965
43,2022-03-15,131.6499938965
44,2022-03-16,132.1999969482
45,2022-03-17,136.3999938965
46,2022-03-18,136.1000061035
47,2022-03-21,137.0
48,2022-03-22,136.8000030518
49,2022-03-23,138.1000061035
5,2022-01-10,147.5500030518
50,2022-03-24,138.0
51,2022-03-25,138.1999969482
52,2022-03-28,136.6999969482
53,2022-03-29,136.8500061035
54,2022-03-30,138.5500030518
55,2022-03-31,138.1000061035
56,2022-04-01,136.9499969482
57,2022-04-06,136.25
58,2022-04-07,133.8000030518
59,2022-04-08,134.5500030518
6,2022-01-11,148.3000030518
60,2022-04-11,132.4499969482
61,2022-04-12,132.5500030518
62,2022-04-13,135.0500030518
63,2022-04-14,134.5500030518
64,2022-04-15,132.25
65,2022-04-18,131.5500030518
66,2022-04-19,132.0
67,2022-04-20,132.6499938965
68,2022-04-21,132.75
69,2022-04-22,131.6000061035
7,2022-01-12,149.5500030518
70,2022-04-25,129.25
71,2022-04-26,129.25
72,2022-04-27,126.5500030518
73,2022-04-28,127.0999984741
74,2022-04-29,128.75
75,2022-05-03,127.8000030518
76,2022-05-04,127.8000030518
77,2022-05-05,129.25
78,2022-05-06,126.6500015259
79,2022-05-09,124.5500030518
8,2022-01-13,150.3000030518
80,2022-05-10,124.0
81,2022-05-11,124.1999969482
82,2022-05-12,121.25
83,2022-05-13,122.3499984741
84,2022-05-16,123.0
85,2022-05-17,124.3499984741
86,2022-05-18,125.6999969482
87,2022-05-19,123.3000030518
88,2022-05-20,124.6500015259
89,2022-05-23,124.9000015259
9,2022-01-14,150.3000030518
90,2022-05-24,123.5
91,2022-05-25,124.4499969482
92,2022-05-26,122.9000015259
93,2022-05-27,125.5
94,2022-05-30,128.5500030518
95,2022-05-31,129.8000030518
96,2022-06-01,129.1499938965
97,2022-06-02,127.8000030518
98,2022-06-06,128.6999969482
99,2022-06-07,127.4000015259
